id,app_name,developer,platform,release_date,price
75,Sonair,Shamus Glassford,Feature phone,5/22/2021,4.28
76,Biodex,Ginelle Grummitt,Android 6.0,4/25/2010,7.01
77,Hatity,Marillin Jencken,Android 5.1; Funtouch 2.1,1/24/2012,1.19
78,Duobam,Ashla Outerbridge,Android 6.0,6/15/2022,6.69
79,Cardguard,Dyna Styan,Feature phone,4/30/2021,3.24
80,Zamit,Danice Harbar,Feature phone,12/06/2017,3.81
81,Fix San,Angelia Morson,Feature phone,3/18/2013,6.58
82,Mat Lam Tam,Alfy Buckerfield,Feature phone,3/22/2017,3.15
83,Bytecard,Kenneth Suttaby,Microsoft Windows Mobile 6.5 Professional,7/28/2022,0.25
84,Vagram,Sandy Noddle,Feature phone,7/22/2014,5.89
85,Vagram,Paton Darracott,Android 10,11/11/2023,9.61
86,Mat Lam Tam,Kristo Adame,Android 9.0,9/14/2020,2.91
87,Konklux,Alicea Clayworth,Android 10; Funtouch 10.5,05/03/2023,9.31
88,Tresom,Tildi Rosendale,Android 2.3.4; up to 4.0; Sense UI,5/19/2010,6.61
89,Veribet,Hunt Godney,Feature phone,12/03/2015,9.58
90,Mat Lam Tam,Park Heisham,Feature phone,3/25/2014,9.52
91,Konklux,Agathe Massinger,Microsoft Windows Mobile 6.0 Professional,9/25/2016,9.5
92,Tampflex,Eugine Gruby,BlackBerry OS,4/16/2016,9.18
93,Span,Marilyn Swanborough,Android 7.0,03/05/2016,2.78
94,Y-find,Hetty Earp,Android 3.2,7/28/2021,9.38
95,Solarbreeze,Velma Gregh,Android 4.2,10/06/2019,7.9
96,Lotlux,Scot Broader,Feature phone,05/09/2017,3.38
97,Zaam-Dox,Ramonda Sudy,Android 7.1.1,10/24/2012,8.61
98,Bitwolf,Josh Treagus,Android 8.0,07/04/2017,9.89
99,Ronstring,Marlon Fidock,Feature phone,10/28/2012,6.61
100,Cardify,Celle Lambregts,Feature phone,1/31/2009,4.87
101,Fixflex,Nicki Wilby,Feature phone,11/08/2020,1.98
102,Solarbreeze,Carling Fogarty,Feature phone,11/05/2018,6.92
103,Ronstring,Niels Tear,Microsoft Smartphone 2003,7/29/2016,6.32
104,Andalax,Brana Auger,Android 5.1,3/14/2017,2.01
105,Alpha,Joyous Songer,Feature phone,08/01/2017,6.1
106,Cardguard,Ives Girsch,Android 5.1; MiFavor 3,12/02/2013,2.75
107,Biodex,Daphne Sivill,Microsoft Windows Mobile 6.5 Standard,6/19/2019,1.03
108,Fix San,Hendrika Bowsher,Feature phone,9/29/2011,3.2
109,Fixflex,Clint Rops,Android 2.3.5,12/22/2023,6.8
110,Transcof,Jasper Heath,Android 8.0; up to Android 10; EMUI 10.2,2/15/2012,2.93
111,Greenlam,Westleigh Chick,Android 9.0,5/30/2015,5.39
112,Treeflex,Sara Sherry,Android 5.0; up to 5.1,02/10/2017,1.84
113,Redhold,Thoma Bletso,Android 4.0.4,1/19/2024,8.4
114,Mat Lam Tam,Hort Cowden,Feature phone,06/10/2022,8.92
115,Voyatouch,Fara Morgans,KaiOS,04/06/2021,4.77
116,Asoka,Claretta Artiss,Feature phone,10/22/2023,4.57
117,Flexidy,Duff Carrabott,Android 4.1.2,03/04/2013,0.17
118,Quo Lux,Rodrique Demougeot,Android 8.1; Funtouch 4.5,03/04/2015,5.43
119,Otcom,Sylvester Sprulls,Android 2.3; Sense UI,05/04/2020,3.77
120,Solarbreeze,Kaycee Southgate,Android 7.0; up to Android 8.0; EMUI 5.1,08/12/2009,7.68
121,Ventosanzap,Reagan Chainey,Android 4.4.2,05/01/2012,4.5
122,Daltfresh,Trevor Olifaunt,Feature phone,2/17/2020,1.78
123,Transcof,Granville Ondrusek,Feature phone,3/27/2016,7.35
124,Sonair,Sergeant Darmody,Microsoft Windows Mobile 6.1 Professional,8/29/2014,8.88
125,Alphazap,Arlyne Leverson,Android 4.4.4; Flyme 4,3/31/2009,6.18
126,Biodex,Terri-jo Crowcroft,Feature phone,06/06/2011,1.05
127,Fixflex,Reba Priest,Android 5.1,9/24/2022,6.04
128,Sub-Ex,Sky Halegarth,Feature phone,3/15/2022,6.04
129,Treeflex,Kacie Tubbs,Android 10; up to Android 11; Realme UI 2.0,3/29/2016,7.29
130,Bigtax,Kele Kalinsky,Android 10; XOS 7.1,7/29/2010,1.47
131,Stim,Zahara Fenimore,Android 6; Funtouch 3,03/11/2017,2.08
132,Stronghold,Vergil Cookes,Android 4.1.2,3/24/2010,0.1
133,Quo Lux,Emmit Ferrers,Android 4.2,12/28/2018,7.55
134,Domainer,Manny Dimblebee,Symbian; Series 60 UI,2/23/2014,9.98
135,Wrapsafe,Brendis Corteney,Android 2.3.6,04/06/2009,9.75
136,It,Miguelita Bodimeade,Android 4.4.2,06/01/2023,0.79
137,Andalax,Genovera Tordoff,Android 3.0,1/19/2009,9.37
138,Lotstring,Malynda Clayal,Feature phone,1/27/2010,4.64
139,Gembucket,Pierrette McVitty,Android 4.4.2; up to 6.0.1; TouchWiz UI,11/19/2015,1
140,Domainer,Laird Hallowes,Feature phone,04/11/2013,9.03
141,Ronstring,Julie Whyard,Android 4.1,7/25/2012,4.83
142,Home Ing,Warden Sweett,Android 4.4.2,07/06/2016,9.2
143,Cardguard,Theodor Gaul,BlackBerry Tablet 2.0,05/04/2022,0.93
144,Tin,Dian Capes,Android 5.1.1; EMUI 3.1 Lite,11/07/2014,2.41
145,Voltsillam,Ceil Deavall,Android 5.1,07/09/2017,7.58
146,Stim,Murial Plaschke,Feature phone,6/18/2019,9.73
147,Overhold,Marlane Jossum,Microsoft Windows PocketPC 2003 Phone edition,11/02/2024,2.44
148,Matsoft,Rica Coverdale,Android 10; HIOS 6.1,6/14/2023,6.68
149,Bitwolf,Kelsi Millthorpe,Android 9.0,3/21/2024,2.61
150,Holdlamis,Laryssa Greatorex,Android 4.4; TouchWiz UI,5/15/2011,4.41
